Player,Salary
Bojan Bogdanovic,"$20,000,000 "
Jarrett Allen,"$20,000,000 "
Joe Harris,"$19,928,571 "
Jakob Poeltl,"$19,500,000 "
Buddy Hield,"$19,279,841 "
Evan Fournier,"$18,857,143 "
Marcus Smart,"$18,833,712 "
Bogdan Bogdanovic,"$18,700,000 "
OG Anunoby,"$18,642,857 "
Gary Trent Jr.,"$18,560,000 "
Nikola Vucevic,"$18,518,519 "
Derrick White,"$18,357,143 "
Dejounte Murray,"$18,214,000 "
Duncan Robinson,"$18,154,000 "
Norman Powell,"$18,000,000 "
Tim Hardaway Jr.,"$17,897,728 "
Jonathan Isaac,"$17,400,000 "
Collin Sexton,"$17,325,000 "
D'Angelo Russell,"$17,307,693 "
Lauri Markkanen,"$17,259,999 "
Marcus Morris Sr.,"$17,116,279 "
Davis Bertans,"$17,000,000 "
Harrison Barnes,"$17,000,000 "
Markelle Fultz,"$17,000,000 "
Jusuf Nurkic,"$16,875,000 "
P.J. Washington,"$16,847,826 "
Kevin Porter Jr.,"$15,860,000 "
Rui Hachimura,"$15,740,741 "
Mitchell Robinson,"$15,681,818 "
Kevin Huerter,"$15,669,643 "
Jonas Valanciunas,"$15,435,000 "
Luke Kennard,"$15,418,363 "
Caris LeVert,"$15,384,616 "
Luguentz Dort,"$15,277,778 "
Kentavious Caldwell-Pope,"$14,704,938 "
Max Strus,"$14,487,684 "
Tyus Jones,"$14,000,000 "
Dorian Finney-Smith,"$13,932,008 "
Doug McDermott,"$13,750,000 "
Wendell Carter Jr.,"$13,050,000 "
Gary Harris,"$13,000,000 "
Josh Hart,"$12,960,000 "
Naz Reid,"$12,950,400 "
Steven Adams,"$12,600,000 "
Brandon Clarke,"$12,500,000 "
Marvin Bagley III,"$12,500,000 "
Dennis Schroder,"$12,405,000 "
Daniel Gafford,"$12,402,000 "
Grant Williams,"$12,325,581 "
Kelly Olynyk,"$12,195,122 "
Victor Wembanyama,"$12,160,680 "
James Wiseman,"$12,119,400 "
Devonte' Graham,"$12,100,000 "
Richaun Holmes,"$12,046,020 "
Austin Reaves,"$12,015,150 "
Herbert Jones,"$12,015,150 "
Chris Boucher,"$11,750,000 "
Nicolas Batum,"$11,710,818 "
Bobby Portis,"$11,710,818 "
Robert Covington,"$11,692,308 "
Paolo Banchero,"$11,608,080 "
Robert Williams III,"$11,571,429 "
Coby White,"$11,111,111 "
Cade Cunningham,"$11,055,240 "
Talen Horton-Tucker,"$11,020,000 "
P.J. Tucker,"$11,014,500 "
Joe Ingles,"$11,000,000 "
Maxi Kleber,"$11,000,000 "
Donte DiVincenzo,"$10,960,000 "
Ivica Zubac,"$10,933,333 "
LaMelo Ball,"$10,900,635 "
Brandon Miller,"$10,880,400 "
Terance Mann,"$10,576,923 "
Matisse Thybulle,"$10,500,000 "
Gabe Vincent,"$10,500,000 "
Alec Burks,"$10,489,600 "
Chet Holmgren,"$10,386,000 "
Larry Nance Jr.,"$10,375,000 "
Landry Shamet,"$10,250,000 "
Al Horford,"$10,000,000 "
Malik Monk,"$9,945,830 "
Tre Jones,"$9,895,833 "
Jalen Green,"$9,891,480 "
Patrick Williams,"$9,835,881 "
Monte Morris,"$9,800,926 "
Scoot Henderson,"$9,770,880 "
Nic Claxton,"$9,625,000 "
Jeff Green,"$9,600,000 "
Royce O'Neale,"$9,500,000 "
Alex Caruso,"$9,460,000 "
Victor Oladipo,"$9,450,000 "
Pat Connaughton,"$9,423,869 "
Jabari Smith Jr.,"$9,326,520 "
Isaiah Hartenstein,"$9,245,121 "
Anthony Edwards,"$9,219,512 "
Kyle Anderson,"$9,219,512 "
Grayson Allen,"$8,925,000 "
Isaac Okoro,"$8,920,795 "
Evan Mobley,"$8,882,760 "
Amen Thompson,"$8,809,320 "
Georges Niang,"$8,800,000 "
Gary Payton II,"$8,715,000 "
T.J. McConnell,"$8,700,000 "
Keegan Murray,"$8,409,000 "
Onyeka Okongwu,"$8,109,063 "
Scottie Barnes,"$8,008,560 "
Trey Lyles,"$8,000,000 "
De'Anthony Melton,"$8,000,000 "
Moritz Wagner,"$8,000,000 "
Jock Landale,"$8,000,000 "
Ausar Thompson,"$7,977,480 "
Miles Bridges,"$7,921,301 "
Vasilije Micic,"$7,723,000 "
Paul Reed,"$7,723,000 "
Zach Collins,"$7,700,000 "
Jaden Ivey,"$7,641,480 "
Cody Martin,"$7,560,000 "
Kevon Looney,"$7,500,000 "
Taurean Prince,"$7,455,000 "
Killian Hayes,"$7,413,955 "
Jalen Suggs,"$7,252,080 "
Anthony Black,"$7,245,480 "
Khem Birch,"$6,985,000 "
Bennedict Mathurin,"$6,916,080 "
Obi Toppin,"$6,803,012 "
Caleb Martin,"$6,802,950 "
Cedi Osman,"$6,718,842 "
Bilal Coulibaly,"$6,614,280 "
Josh Giddey,"$6,587,040 "
Cameron Payne,"$6,500,000 "
Jae'Sean Tate,"$6,500,000 "
Ayo Dosunmu,"$6,481,481 "
Rudy Gay,"$6,479,000 "
Sasha Vezenkov,"$6,341,464 "
Shaedon Sharpe,"$6,313,800 "
Otto Porter Jr.,"$6,300,000 "
Deni Avdija,"$6,263,188 "
Nassir Little,"$6,250,000 "
Jevon Carter,"$6,190,476 "
Kenrich Williams,"$6,175,000 "
Ricky Rubio,"$6,146,342 "
Jarace Walker,"$6,059,520 "
Jonathan Kuminga,"$6,012,840 "
Devin Vassell,"$5,887,899 "
Tyrese Haliburton,"$5,808,435 "
Dyson Daniels,"$5,784,120 "
Kira Lewis Jr.,"$5,722,116 "
Dean Wade,"$5,709,877 "
Aaron Nesmith,"$5,634,257 "
Jalen Smith,"$5,604,192 "
Taylor Hendricks,"$5,569,920 "
Cole Anthony,"$5,539,771 "
Franz Wagner,"$5,508,720 "
Garrett Temple,"$5,401,000 "
Furkan Korkmaz,"$5,370,370 "
Jeremy Sochan,"$5,316,960 "
Cason Wallace,"$5,291,000 "
Chuma Okeke,"$5,266,713 "
Isaiah Stewart,"$5,266,713 "
Davion Mitchell,"$5,063,760 "
Johnny Davis,"$5,050,800 "
Jett Howard,"$5,026,800 "
Nick Richards,"$5,000,000 "
Reggie Jackson,"$5,000,000 "
Mason Plumlee,"$5,000,000 "
Ziaire Williams,"$4,810,200 "
Ousmane Dieng,"$4,798,440 "
Dereck Lively II,"$4,775,640 "
Josh Green,"$4,765,339 "
Jarred Vanderbilt,"$4,698,000 "
Nickeil Alexander-Walker,"$4,687,500 "
James Bouknight,"$4,570,080 "
Jalen Williams,"$4,558,680 "
Saddiq Bey,"$4,556,983 "
Gradey Dick,"$4,536,720 "
Jalen McDaniels,"$4,516,000 "
Precious Achiuwa,"$4,379,527 "
Tyrese Maxey,"$4,343,920 "
Jalen Duren,"$4,330,680 "
Danuel House Jr.,"$4,310,250 "
Jordan Hawkins,"$4,310,160 "
Zeke Nnaji,"$4,306,281 "
Immanuel Quickley,"$4,171,548 "
Chris Duarte,"$4,124,400 "
Ochai Agbaji,"$4,114,200 "
Kobe Bufkin,"$4,094,280 "
Payton Pritchard,"$4,037,278 "
Seth Curry,"$4,000,000 "
Troy Brown Jr.,"$4,000,000 "
Dwight Powell,"$4,000,000 "
Moses Moody,"$3,918,480 "
Mark Williams,"$3,908,160 "
Jaden McDaniels,"$3,901,399 "
Keyonte George,"$3,889,800 "
Malachi Flynn,"$3,873,025 "
Desmond Bane,"$3,845,083 "
Kevin Love,"$3,835,738 "
Russell Westbrook,"$3,835,738 "
Corey Kispert,"$3,722,040 "
AJ Griffin,"$3,712,920 "
Jalen Hood-Schifino,"$3,695,040 "
Amir Coffey,"$3,666,667 "
Alperen Sengun,"$3,536,280 "
Tari Eason,"$3,527,160 "
Jaime Jaquez Jr.,"$3,510,600 "
Mike Muscala,"$3,500,000 "
Andre Drummond,"$3,360,000 "
Trey Murphy III,"$3,359,280 "
Brandin Podziemski,"$3,352,440 "
Dalen Terry,"$3,350,760 "
Cam Whitmore,"$3,218,160 "
Jake LaRavia,"$3,199,920 "
Derrick Rose,"$3,196,448 "
Eric Gordon,"$3,196,448 "
Tre Mann,"$3,191,280 "
Noah Clowney,"$3,089,520 "
Malaki Branham,"$3,071,880 "
Simone Fontecchio,"$3,044,872 "
Jordan Nwora,"$3,000,000 "
Julian Champagnie,"$3,000,000 "
Dante Exum,"$3,000,000 "
Dariq Whitehead,"$2,966,040 "
Christian Braun,"$2,949,120 "
Jalen Johnson,"$2,925,360 "
Josh Richardson,"$2,891,467 "
Kris Murray,"$2,847,480 "
Walker Kessler,"$2,831,160 "
Josh Okogie,"$2,815,937 "
Keon Johnson,"$2,808,720 "
Omer Yurtseven,"$2,800,000 "
Kyle Lowry,"$2,795,839 "
Olivier-Maxence Prosper,"$2,733,360 "
David Roddy,"$2,718,240 "
Christian Wood,"$2,709,849 "
Isaiah Jackson,"$2,696,280 "
Marcus Sasser,"$2,623,680 "
MarJon Beauchamp,"$2,609,400 "
Charles Bassey,"$2,600,000 "
Kris Dunn,"$2,586,665 "
Damian Jones,"$2,586,665 "
Bruno Fernando,"$2,581,522 "
Willy Hernangomez,"$2,559,942 "
Ben Sheppard,"$2,537,160 "
Damion Lee,"$2,528,233 "
Thomas Bryant,"$2,528,233 "
Torrey Craig,"$2,528,233 "
Blake Wesley,"$2,504,640 "
Josh Christopher,"$2,485,200 "
Nick Smith Jr.,"$2,463,960 "
Brice Sensabaugh,"$2,448,600 "
Ty Jerome,"$2,439,025 "
Julian Strawther,"$2,431,080 "
Wendell Moore Jr.,"$2,421,720 "
Kobe Brown,"$2,413,320 "
PJ Dozier,"$2,413,304 "
Luke Kornet,"$2,413,304 "
John Konchar,"$2,400,000 "
Quentin Grimes,"$2,385,720 "
Keita Bates-Diop,"$2,364,614 "
Nikola Jovic,"$2,352,000 "
Yuta Watanabe,"$2,346,614 "
Drew Eubanks,"$2,346,614 "
Patrick Baldwin Jr.,"$2,337,720 "
Jordan McLaughlin,"$2,320,000 "
Bones Hyland,"$2,306,400 "
Peyton Watson,"$2,303,520 "
Cam Thomas,"$2,240,160 "
Vlatko Cancar,"$2,234,359 "
Vince Williams Jr.,"$2,232,308 "
Jaden Springer,"$2,226,240 "
Day'Ron Sharpe,"$2,210,040 "
Jeremiah Robinson-Earl,"$2,196,970 "
Santi Aldama,"$2,194,200 "
Jaxson Hayes,"$2,165,000 "
Cam Reddish,"$2,165,000 "
Oshae Brissett,"$2,165,000 "
Andrew Nembhard,"$2,131,905 "
Kobi Simmons,"$2,066,585 "
Luka Samanic,"$2,066,585 "
Isaiah Roby,"$2,066,585 "
Goga Bitadze,"$2,062,585 "
Tristan Thompson,"$2,019,796 "
Sandro Mamukelashvili,"$2,019,760 "
Alex Len,"$2,019,760 "
Montrezl Harrell,"$2,019,760 "
Malik Beasley,"$2,019,760 "
Jae Crowder,"$2,019,760 "
Frank Ntilikina,"$2,019,706 "
Ish Smith,"$2,019,706 "
Colby Jones,"$2,019,706 "
Nerlens Noel,"$2,019,706 "
JaVale McGee,"$2,019,706 "
Robin Lopez,"$2,019,706 "
Dalano Banton,"$2,019,706 "
Moses Brown,"$2,019,706 "
Bol Bol,"$2,019,706 "
Mo Bamba,"$2,019,706 "
Kelly Oubre Jr.,"$2,019,706 "
Danny Green,"$2,019,706 "
Trendon Watford,"$2,019,706 "
Lonnie Walker IV,"$2,019,706 "
Dennis Smith Jr.,"$2,019,706 "
Thanasis Antetokounmpo,"$2,019,706 "
Patrick Beverley,"$2,019,706 "
Cory Joseph,"$2,019,706 "
Aaron Holiday,"$2,019,706 "
Reggie Bullock Jr.,"$2,019,706 "
Boban Marjanovic,"$2,019,706 "
Dario Saric,"$2,019,706 "
Chimezie Metu,"$2,019,706 "
Ryan Arcidiacono,"$2,019,706 "
Jalen Pickett,"$2,019,706 "
Justin Holiday,"$2,019,706 "
DeAndre Jordan,"$2,019,706 "
Derrick Jones Jr.,"$2,019,706 "
Markieff Morris,"$2,019,706 "
Terry Taylor,"$2,019,706 "
Cody Zeller,"$2,019,706 "
Svi Mykhailiuk,"$2,019,706 "
Wesley Matthews,"$2,019,706 "
Jaylin Williams,"$2,000,000 "
Caleb Houstan,"$2,000,000 "
Garrison Mathews,"$2,000,000 "
Anthony Gill,"$1,997,239 "
R.J. Hampton,"$1,997,238 "
Isaiah Joe,"$1,997,238 "
Sam Merrill,"$1,997,238 "
GG Jackson II,"$1,991,428 "
Duop Reath,"$1,951,220 "
Lamar Stevens,"$1,930,681 "
KJ Martin,"$1,930,681 "
KJ Martin,"$1,930,681 "
Naji Marshall,"$1,930,681 "
Xavier Tillman Sr.,"$1,930,681 "
Kessler Edwards,"$1,927,896 "
Jericho Sims,"$1,927,896 "
Joe Wieskamp,"$1,927,896 "
Sam Hauser,"$1,927,896 "
Carlik Jones,"$1,922,896 "
Haywood Highsmith,"$1,902,137 "
Kevin Knox II,"$1,845,593 "
JT Thor,"$1,836,096 "
Isaiah Todd,"$1,836,096 "
Isaiah Livers,"$1,836,096 "
Aaron Wiggins,"$1,836,096 "
Miles McBride,"$1,836,096 "
Brandon Boston,"$1,836,096 "
Marko Simonovic,"$1,836,096 "
Jose Alvarado,"$1,836,096 "
Jack White,"$1,801,769 "
A.J. Green,"$1,801,769 "
Orlando Robinson,"$1,801,769 "
Dru Smith,"$1,801,769 "
E.J. Liddell,"$1,801,769 "
Leonard Miller,"$1,800,000 "
Joshua Primo,"$1,764,341 "
Daniel Theis,"$1,741,126 "
Bryce McGowens,"$1,719,865 "
Xavier Cooks,"$1,719,864 "
Jabari Walker,"$1,719,864 "
Josh Minott,"$1,719,864 "
Tyrese Martin,"$1,719,864 "
Max Christie,"$1,719,864 "
Jaden Hardy,"$1,719,864 "
Julian Phillips,"$1,600,000 "
Spencer Dinwiddie,"$1,554,654 "
Craig Porter Jr.,"$1,500,000 "
Sidy Cissoko,"$1,119,563 "
Filip Petrusev,"$1,119,563 "
Rayan Rupert,"$1,119,563 "
Toumani Camara,"$1,119,563 "
Chris Livingston,"$1,119,563 "
Andre Jackson Jr.,"$1,119,563 "
Maxwell Lewis,"$1,119,563 "
Trayce Jackson-Davis,"$1,119,563 "
Hunter Tyson,"$1,119,563 "
Jordan Walsh,"$1,119,563 "
Mouhamed Gueye,"$1,119,563 "
Kendall Brown,"$1,100,000 "
Gui Santos,"$1,029,483 "
A.J. Lawson,"$1,000,000 "
Eugene Omoruyi,"$900,000 "
Jalen Wilson,"$850,000 "
James Johnson,"$777,703 "
Lindy Waters III,"$766,095 "
Bismack Biyombo,"$754,488 "
Keon Ellis,"$683,430 "
Danilo Gallinari,"$661,628 "
Delon Wright,"$661,628 "
Thaddeus Young,"$638,413 "
Aleksej Pokusevski,"$565,176 "
Trent Forrest,"$553,151 "
Shake Milton,"$552,938 "
Lester Quinones,"$548,815 "
Stanley Umude,"$538,460 "
Kenneth Lofton Jr.,"$500,000 "
Darius Bazley,"$500,000 "
Patty Mills,"$475,908 "
Dominick Barlow,"$455,620 "
Taj Gibson,"$348,225 "
Onuralp Bitim,"$334,582 "
Javon Freeman-Liberty,"$289,542 "
