Year,Player,Age,Team,G,GS,Minutes,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2023-2024,Duncan Robinson,29,MIA,68,36,1905,12.2,0.612,0.701,0.133,0.9,9.5,5.1,15.1,1.2,0.8,11.7,19,1.6,2,3.6,0.091,-0.5,-0.4,-0.9,0.6
2023-2024,John Collins,26,UTA,68,66,1901,17.5,0.621,0.311,0.248,9.2,24,16.7,6.1,1,2.9,10.6,20.4,3.1,1.3,4.4,0.11,0.5,-1.4,-0.9,0.5
2023-2024,Darius Garland,24,CLE,57,57,1901,14.5,0.56,0.423,0.208,1.8,7.1,4.5,29.4,1.9,0.3,16.1,25.3,0.7,2,2.7,0.067,0.2,-1.2,-1,0.5
2023-2024,Isaiah Hartenstein,25,NYK,75,49,1896,18.9,0.67,0.008,0.43,14.4,22.7,18.5,13.5,2.3,4.2,17.6,12,4.6,3.5,8.1,0.204,0.7,2.8,3.5,2.6
2023-2024,Eric Gordon,35,PHO,68,24,1893,10.8,0.58,0.642,0.104,1,6,3.6,10,1.7,1.4,10.2,16.5,1,1.5,2.5,0.063,-1.3,-0.5,-1.7,0.1
2023-2024,Jalen Johnson,22,ATL,56,52,1889,16.3,0.584,0.285,0.209,4.1,24.8,14.1,15.4,1.7,2.2,11.6,19.1,2.1,1.7,3.8,0.098,0.4,0.8,1.2,1.5
2023-2024,Isaac Okoro,23,CLE,69,42,1887,11.4,0.599,0.448,0.285,4,8.2,6.1,9.5,1.5,1.6,9.1,13.9,2.1,2,4.2,0.106,-1.8,0.7,-1.1,0.4
2023-2024,Clint Capela,29,ATL,73,73,1883,20.7,0.59,0.002,0.333,18.7,26.5,22.4,6.9,1.1,5.1,9.5,17.3,4.4,1.9,6.3,0.161,1,-1,0.1,1
2023-2024,Terance Mann,27,LAC,75,71,1873,12,0.615,0.414,0.193,5.4,9.7,7.7,8.5,1.1,0.7,8.2,13.6,3,1.2,4.2,0.106,-0.8,-0.7,-1.5,0.2
2023-2024,Malik Monk,25,SAC,72,0,1872,16,0.564,0.474,0.23,1.6,11.3,6.3,28.9,1.2,1.9,13.2,25.9,1.9,1.6,3.5,0.09,1.5,-1,0.6,1.2
2023-2024,Bruce Brown,27,IND,33,33,981,12.2,0.568,0.322,0.261,2.9,14.9,8.9,12.3,1.7,0.6,10.5,16.7,0.9,0.6,1.5,0.074,-1.7,-0.5,-2.3,-0.1
2023-2024,Bruce Brown,27,TOR,34,11,885,10.9,0.557,0.235,0.224,3.4,12.9,8.1,14.3,1.3,0.9,13.3,16.4,0.3,0.4,0.7,0.04,-3.1,-1.4,-4.5,-0.5
2023-2024,Jamal Murray,26,DEN,59,59,1861,20.7,0.586,0.346,0.187,2.6,11.6,7.2,31.2,1.5,1.8,10.5,27.9,3.8,2.1,5.9,0.153,4.5,-0.4,4.1,2.9
2023-2024,RJ Barrett,23,NYK,26,26,766,14.3,0.536,0.335,0.32,2.8,13.5,8.1,12.8,0.8,1.1,9.6,27.6,0.4,0.7,1.1,0.07,-0.3,-1.7,-2,0
2023-2024,RJ Barrett,23,TOR,32,32,1072,17.8,0.615,0.244,0.339,3.4,17.8,10.5,19.5,0.9,1.1,12.3,25.7,1.2,0.5,1.7,0.078,1.5,-1.4,0.1,0.6
2023-2024,Georges Niang,30,CLE,82,10,1831,9.9,0.583,0.627,0.095,1.4,15.5,8.5,7.5,0.8,0.9,9.9,17.6,0.5,2,2.4,0.064,-2.5,-0.4,-2.9,-0.4
2023-2024,Jerami Grant,29,POR,54,54,1830,15.4,0.573,0.325,0.367,2.1,10,5.8,13.8,1.2,1.7,10.5,25.7,1.7,1,2.7,0.071,1,-1.1,-0.1,0.9
2023-2024,Rui Hachimura,25,LAL,68,39,1826,15,0.628,0.343,0.198,3.7,13.7,8.9,6.3,1.1,1.2,5.9,18.5,2.7,1.5,4.1,0.108,0,-0.9,-0.9,0.5
2023-2024,Payton Pritchard,26,BOS,82,5,1825,15.3,0.597,0.602,0.088,4.3,11.1,7.8,20.7,1.1,0.3,8.5,17.2,4.2,1.9,6.1,0.16,1.3,-0.2,1,1.4
2023-2024,Lauri Markkanen,26,UTA,55,55,1820,21.5,0.631,0.493,0.311,7.4,19.6,13.6,9.5,1.3,1.3,7.1,25,5.2,0.9,6.2,0.163,5.1,-1.5,3.6,2.6
2023-2024,Reggie Jackson,33,DEN,82,23,1817,11.7,0.521,0.376,0.13,2.1,7.2,4.7,23,1.2,0.6,11.7,21.7,0.6,1.5,2.1,0.056,-1.8,-1.5,-3.2,-0.6
2023-2024,Cole Anthony,23,ORL,81,0,1817,14.6,0.545,0.36,0.286,4.1,16.1,10.1,19.8,1.7,1.9,12.8,23.7,0.9,2.7,3.6,0.096,-0.6,0.7,0.1,1
2023-2024,Daniel Gafford,25,WAS,45,45,1192,19.9,0.707,0,0.405,11.5,21.1,16.2,8,1.7,6.6,11.7,13.9,3,1.4,4.4,0.178,-0.2,1.1,0.9,0.9
2023-2024,Daniel Gafford,25,DAL,29,21,623,25,0.769,0,0.301,11.3,23.9,17.6,11.1,1.6,7.9,11.7,16.4,2.2,1.1,3.3,0.257,2.5,3.4,5.9,1.3
2023-2024,Ivica Zubac,26,LAC,68,68,1794,19.3,0.671,0,0.32,12.8,26.2,19.7,7.5,0.6,4.2,11.8,16.4,4.5,2.3,6.8,0.182,0.8,0,0.8,1.3
2023-2024,Deandre Ayton,25,POR,55,55,1784,18.9,0.587,0.013,0.105,10.4,28.9,19.1,8.8,1.5,2.1,11.2,21.1,1.8,2.1,3.9,0.106,0.5,-0.2,0.3,1
2023-2024,Derrick Jones Jr.,26,DAL,76,66,1783,11.7,0.592,0.483,0.275,5,10.3,7.7,5.5,1.4,2.5,10.5,14.9,1.5,1.6,3.1,0.083,-1.3,-0.3,-1.5,0.2
2023-2024,Kyle Anderson,30,MIN,79,10,1782,12.7,0.513,0.111,0.316,4,13,8.7,25,2,2.3,15.6,14.5,1.4,3.1,4.5,0.121,-1.6,2.7,1.1,1.4
2023-2024,Jalen Duren,20,DET,61,60,1777,18.7,0.653,0.007,0.321,11.8,33,22.2,12.7,0.9,2.3,16.7,18.5,3,1.8,4.8,0.13,-0.2,0.1,-0.1,0.9
2023-2024,Bradley Beal,30,PHO,53,53,1767,16.3,0.607,0.32,0.182,3.6,10.8,7.4,22.5,1.4,1.3,14.2,22.7,2.4,1.5,3.9,0.107,0.9,-0.6,0.4,1.1
2023-2024,Scoot Henderson,19,POR,62,32,1765,9.5,0.489,0.336,0.256,3.2,9.5,6.2,29.9,1.3,0.7,19.3,26.5,-2.5,0.9,-1.7,-0.045,-3.5,-2.3,-5.8,-1.7
2023-2024,Nick Richards,26,CHO,67,51,1759,16.7,0.717,0.003,0.476,10.7,24.2,17.2,4.5,0.7,3.9,13.8,13.3,3.8,1.3,5.1,0.14,-1.6,-0.7,-2.3,-0.1
2023-2024,Kelly Olynyk,32,UTA,50,8,1019,17.3,0.677,0.326,0.368,6.9,20.5,13.7,29.6,1.8,1.1,21.3,15.6,2.5,0.7,3.1,0.148,1.3,1.3,2.6,1.2
2023-2024,Kelly Olynyk,32,TOR,28,19,740,17.4,0.644,0.297,0.356,6.6,17,11.7,24.8,2.4,2.1,20.4,20,1,0.7,1.7,0.113,0,0.7,0.7,0.5
2023-2024,Caleb Martin,28,MIA,64,23,1756,10.8,0.531,0.415,0.177,4.7,13.5,9.1,11.8,1.3,1.6,11.3,17.3,0.2,2.2,2.4,0.066,-2.2,0.2,-2,0
2023-2024,Sam Hauser,26,BOS,79,13,1741,13,0.629,0.833,0.034,2.9,13.7,8.6,6.2,1.1,1.3,5.3,15,2.7,2.1,4.9,0.134,1.2,0,1.2,1.4
2023-2024,Al Horford,37,BOS,65,33,1740,15,0.65,0.616,0.072,5.3,19.7,12.8,12.3,1.1,3.1,10,12,3.5,2.7,6.2,0.172,1.7,2,3.6,2.5
2023-2024,Toumani Camara,23,POR,70,49,1739,10.6,0.547,0.393,0.226,8.4,14,11,7.2,1.9,1.7,14.9,13.8,0.6,1.4,2,0.055,-3.1,0,-3.1,-0.5
2023-2024,Obi Toppin,25,IND,82,28,1730,16.5,0.677,0.437,0.173,5.6,15.4,10.5,9.4,1.3,2,10,16.8,3.6,1.1,4.8,0.132,1.8,-0.3,1.5,1.5
2023-2024,Bilal Coulibaly,19,WAS,63,15,1715,8.9,0.543,0.428,0.303,3.4,12.8,8,8.2,1.6,2.3,15.1,14.2,-0.5,0.9,0.4,0.013,-3.6,-0.5,-4.2,-0.9
2023-2024,OG Anunoby,26,TOR,27,27,900,12.6,0.598,0.508,0.143,2.9,10.2,6.5,11.4,1.5,1.3,11.2,18.2,0.6,0.4,1,0.052,-0.8,-0.7,-1.6,0.1
2023-2024,OG Anunoby,26,NYK,23,23,802,13,0.591,0.406,0.168,3.2,11.1,7.1,6.2,2.5,2.7,12.1,16.8,0.5,1.1,1.6,0.097,-1.3,1.8,0.6,0.5
2023-2024,Jabari Walker,21,POR,72,23,1700,13,0.546,0.273,0.336,9.4,25,16.7,6.2,1.2,1.2,10.2,16.3,1.4,1.6,2.9,0.083,-2.4,-0.9,-3.3,-0.6
2023-2024,Andrew Nembhard,24,IND,68,47,1697,11.3,0.573,0.328,0.107,2.4,7,4.7,20,1.8,0.3,15.6,16,1.3,0.7,2,0.057,-1.6,-0.5,-2.2,-0.1
2023-2024,Cason Wallace,20,OKC,82,13,1692,12,0.612,0.529,0.084,3.6,8.6,6.2,8.9,2.2,2,8.9,12.9,1.9,2.1,4,0.115,-0.9,1,0.1,0.9
2023-2024,Trey Murphy III,23,NOP,57,23,1690,16.3,0.612,0.717,0.243,2.8,15.5,9.2,10.2,1.5,1.6,4.7,18.6,3.4,2,5.4,0.154,2.5,0,2.5,1.9
2023-2024,Kristaps Porzingis,28,BOS,57,57,1690,23.2,0.647,0.39,0.402,6.5,19.1,13.1,10,1.2,5.8,9.1,25.1,4.9,3,7.9,0.226,3.5,1.6,5.1,3
2023-2024,Kyle Lowry,37,MIA,37,35,1037,10.9,0.582,0.665,0.174,2.7,11.5,7,19.5,1.9,1.4,16.9,13.5,0.8,1.4,2.2,0.1,-2,1.3,-0.8,0.3
2023-2024,Kyle Lowry,37,PHI,23,20,653,11,0.615,0.659,0.244,1.5,9.6,5.5,21.1,1.5,0.8,17.6,12,0.8,0.6,1.4,0.102,-1.7,0.4,-1.3,0.1
2023-2024,Jordan Clarkson,31,UTA,55,19,1682,12.7,0.521,0.379,0.246,3.2,9,6.2,24.6,1,0.3,13.9,26.1,0.1,0.1,0.2,0.006,-1.3,-3.2,-4.5,-1.1
2023-2024,De'Andre Hunter,26,ATL,57,37,1681,12.7,0.595,0.459,0.296,1.9,12.9,7.2,7.3,1.1,0.9,10,20.6,1.6,0.6,2.2,0.062,-0.9,-1.5,-2.4,-0.2
2023-2024,Pat Connaughton,31,MIL,76,3,1676,9.6,0.574,0.686,0.167,3.4,12,7.8,12,1.1,1,11.6,10.9,1.6,1.2,2.8,0.08,-1.6,0,-1.6,0.2
2023-2024,Christian Braun,22,DEN,82,4,1655,12.1,0.554,0.34,0.277,5.4,14.8,10.2,10.2,1.3,1.8,9.2,15.7,1.5,2,3.4,0.1,-1.7,-0.2,-1.9,0
2023-2024,Simone Fontecchio,28,UTA,50,34,1160,11.2,0.592,0.651,0.112,5,11.7,8.4,8.6,1.2,1.4,12,15.4,0.9,0.3,1.3,0.052,-0.4,-1.2,-1.6,0.1
2023-2024,Ochai Agbaji,23,UTA,51,10,1003,8.1,0.531,0.57,0.08,3.9,9.9,6.9,6.1,1.3,2.6,11.7,12.2,0.1,0.3,0.4,0.019,-2.5,-0.5,-3,-0.3
2023-2024,Ochai Agbaji,23,TOR,27,18,638,7.1,0.453,0.375,0.196,6.6,9,7.8,7.4,1.5,2.1,13.1,15.4,-0.6,0.3,-0.3,-0.024,-5,-1.5,-6.5,-0.7
2023-2024,Julius Randle,29,NYK,46,46,1630,18.9,0.569,0.292,0.361,6.8,22.4,14.6,22.8,0.8,0.7,14.1,29.9,1.9,1.9,3.8,0.113,2.2,-0.3,1.9,1.6
2023-2024,Precious Achiuwa,24,NYK,49,18,1187,14.5,0.564,0.167,0.234,13.3,19.9,16.6,6.2,1.3,4.4,14.1,14,1.2,1.8,3,0.122,-1.9,0.5,-1.4,0.2
2023-2024,Santi Aldama,23,MEM,61,35,1618,13.1,0.539,0.535,0.153,4.7,19.7,11.9,13.3,1.3,3.1,10.2,17.9,0.4,2,2.4,0.07,-0.7,0.4,-0.2,0.7
2023-2024,Cameron Johnson,27,BRK,58,47,1599,14.5,0.582,0.57,0.176,3.7,13.8,8.6,12.9,1.5,0.8,7.9,19.6,2,1.3,3.3,0.1,0.9,-0.5,0.4,1
2023-2024,Malaki Branham,20,SAS,75,29,1594,8.7,0.526,0.427,0.1,1.9,8.2,5,14,0.8,0.4,12.2,19.8,-0.9,0.6,-0.3,-0.008,-3.4,-2.2,-5.6,-1.5
2023-2024,Paul Reed,24,PHI,82,24,1590,17.4,0.58,0.119,0.177,13.2,20.9,16.9,9.8,2.1,4.8,11.5,15.9,2.5,2.6,5.1,0.154,-0.6,1,0.4,0.9
2023-2024,Ausar Thompson,21,DET,63,38,1583,12.8,0.522,0.235,0.248,8.9,19.6,14.2,10.8,2.1,3.2,13.6,16.6,0.1,1.7,1.8,0.053,-2.8,0.6,-2.2,-0.1
2023-2024,Anfernee Simons,24,POR,46,46,1582,15.9,0.568,0.484,0.213,1.5,10.9,5.9,27.6,0.7,0.3,12.1,28,1.7,0.5,2.2,0.068,2.7,-2.5,0.2,0.8
2023-2024,Kevin Huerter,25,SAC,64,59,1562,12.4,0.564,0.609,0.084,2.7,13.6,8,14.4,1.4,1.3,8.4,17.3,1.5,1.4,2.9,0.089,-0.5,-0.4,-0.8,0.5
2023-2024,Bennedict Mathurin,21,IND,59,19,1538,13,0.562,0.323,0.338,4.4,12.8,8.6,9.8,1.1,0.7,11.3,23.4,0.8,0.7,1.4,0.045,-1.2,-2.3,-3.4,-0.6
2023-2024,Evan Mobley,22,CLE,50,50,1532,20.1,0.626,0.107,0.31,8.2,25.9,17.2,15.9,1.5,4.2,12.5,20.6,2.8,2.7,5.5,0.174,0.9,2,2.9,1.9
2023-2024,Chris Paul,38,GSW,58,18,1531,14.7,0.544,0.45,0.111,1.3,14.4,7.9,33.4,2.2,0.4,13.4,15.6,2.6,1.7,4.3,0.136,-0.2,1.2,1,1.2
2023-2024,Russell Westbrook,35,LAC,68,11,1529,16.2,0.514,0.232,0.241,7.1,17.8,12.7,29.2,2.4,1.4,16.4,25.2,0.2,1.9,2.1,0.066,-0.2,0.7,0.5,1
2023-2024,Nicolas Batum,35,PHI,57,38,1475,10.3,0.606,0.718,0.085,5.1,13,9,10.6,1.5,2.1,13.2,8.7,1.6,1.5,3.2,0.104,-1.3,0.7,-0.5,0.5
2023-2024,Zach Collins,26,SAS,69,29,1526,14.3,0.565,0.294,0.263,8.3,18,13.1,18.9,1.1,2.8,16.1,22.7,0.4,1.5,1.8,0.057,-2,-0.1,-2,0
2023-2024,Josh Green,23,DAL,57,33,1505,9.9,0.588,0.5,0.152,2.9,10.4,6.7,11.1,1.5,0.5,13.1,13.1,1,1.2,2.2,0.071,-2.4,-0.3,-2.7,-0.3
2023-2024,Walker Kessler,22,UTA,64,22,1493,18,0.663,0.054,0.266,12.3,23.1,17.7,5.6,1,9.2,14.4,12.8,2.4,1.7,4.1,0.131,-0.4,1.3,0.9,1.1
2023-2024,Draymond Green,33,GSW,55,52,1490,14.5,0.587,0.347,0.199,5.6,23,14.4,28.6,1.8,2.9,25,15.3,1.4,2.2,3.6,0.116,-0.6,3,2.4,1.6
2023-2024,Peyton Watson,21,DEN,80,4,1488,11.8,0.539,0.34,0.237,4.3,14.6,9.6,7.4,1.4,5,10.5,16.2,0.3,2.2,2.5,0.079,-3,0.8,-2.2,-0.1
2023-2024,Matisse Thybulle,26,POR,65,19,1487,10.4,0.537,0.729,0.091,2.1,8.5,5.1,8.3,3.8,3,10.8,10.6,0.4,1.8,2.2,0.072,-2.8,3.4,0.6,0.9
2023-2024,Khris Middleton,32,MIL,55,55,1487,17,0.595,0.384,0.187,3,15.7,9.5,28.9,1.6,0.9,15.4,23.9,1.9,1.4,3.4,0.109,1.1,0,1.1,1.2
2023-2024,Bojan Bogdanovic,34,DET,28,27,921,14.1,0.6,0.487,0.245,1.5,10,5.7,12.2,1.2,0.4,11.8,24.7,0.5,0.3,0.8,0.042,0.3,-2.5,-2.1,0
2023-2024,Bojan Bogdanovic,34,NYK,29,0,557,10.1,0.549,0.496,0.176,1.8,9.9,5.8,7.1,0.6,0.2,12.1,24.3,-0.2,0.4,0.2,0.021,-2.4,-2.5,-4.9,-0.4
2023-2024,Julian Champagnie,22,SAS,74,59,1468,10.6,0.57,0.689,0.229,3.1,12.2,7.6,9.3,1.6,2.4,11.4,14.4,0.6,1.3,1.8,0.059,-1.8,-0.1,-1.9,0
2023-2024,Patrick Beverley,35,PHI,47,5,919,11.7,0.547,0.452,0.261,3.5,14.1,8.7,21,1.3,1.8,15.4,14.9,0.7,0.9,1.7,0.087,-1.5,0,-1.5,0.1
2023-2024,Patrick Beverley,35,MIL,26,8,543,11.4,0.524,0.522,0.196,3.9,14.8,9.5,15.8,1.7,2,9.6,13.2,0.5,0.6,1.1,0.095,-1.6,1.2,-0.4,0.2
2023-2024,Amir Coffey,26,LAC,70,13,1460,10,0.604,0.523,0.202,2.3,8.9,5.7,6.8,1.4,0.9,7.9,12.5,1.6,1,2.6,0.084,-1.9,-0.3,-2.2,-0.1
2023-2024,Isaiah Joe,24,OKC,78,1,1445,13.4,0.626,0.728,0.107,2.6,11,6.9,8.9,1.5,1.4,8.5,16.6,1.9,1.6,3.5,0.116,1.1,-0.3,0.9,1
2023-2024,Desmond Bane,25,MEM,42,42,1443,18.5,0.589,0.464,0.207,2.6,11.8,7,29.2,1.5,1.4,11.7,28.5,1.8,1.3,3.1,0.102,3.1,-0.3,2.8,1.7
2023-2024,Vince Williams Jr.,23,MEM,52,33,1436,12.8,0.597,0.551,0.343,4.3,18.3,11,18,1.6,2.2,17.4,15.8,1.1,1.7,2.8,0.093,-1.7,1,-0.7,0.5
2023-2024,Isaiah Stewart,22,DET,46,45,1423,11.3,0.6,0.458,0.223,5.7,18.4,11.9,7.1,0.6,2.3,13.6,14.5,0.9,0.8,1.7,0.056,-1.6,-0.7,-2.3,-0.1
2023-2024,Moritz Wagner,26,ORL,80,1,1415,20.6,0.676,0.208,0.37,9.6,19.3,14.4,11.2,1.4,1.4,13.1,22.8,3.5,2,5.6,0.188,1.7,0.3,2,1.4
2023-2024,Tyler Herro,24,MIA,42,40,1407,15.7,0.558,0.453,0.151,1.5,16.5,8.9,22.4,1.1,0.2,10.6,27.8,0.4,1.6,2,0.068,1.5,-0.7,0.8,1
2023-2024,Wendell Carter Jr.,24,ORL,55,48,1406,15.9,0.623,0.402,0.315,9.3,22.7,15.9,9.9,1.2,1.9,12.3,17.2,2.2,2.1,4.4,0.149,0.5,0.4,0.9,1
2023-2024,Onyeka Okongwu,23,ATL,55,8,1405,16.9,0.674,0.189,0.318,10.8,18.6,14.6,7.2,0.9,3.8,9.8,13.7,3.5,1,4.5,0.153,0,-0.5,-0.4,0.5
2023-2024,Amen Thompson,21,HOU,62,23,1388,18.2,0.576,0.13,0.348,11.3,20.4,15.8,17,2.7,2.5,14.9,18.5,1.9,2.4,4.3,0.149,-0.1,1.9,1.8,1.3
2023-2024,Haywood Highsmith,27,MIA,66,26,1366,11.1,0.587,0.584,0.109,5.3,12.1,8.7,7.2,1.9,2.1,9,12.4,1.1,1.9,3.1,0.108,-1.8,1.1,-0.7,0.5
2023-2024,Dyson Daniels,20,NOP,61,16,1358,12,0.529,0.434,0.17,5.1,14.1,9.7,15.4,3.1,1.8,15,12.6,0.7,2.2,2.9,0.103,-1.9,2.5,0.6,0.9
2023-2024,Andre Drummond,30,CHI,79,10,1351,23,0.576,0.006,0.454,21.5,37.4,29.3,4.1,2.7,3.6,12.3,21.3,2.3,2.6,4.9,0.175,0.8,-0.7,0.1,0.7
2023-2024,Marcus Sasser,23,DET,71,11,1351,11.8,0.542,0.469,0.129,0.9,9.6,5.2,25.4,1.6,0.8,14.3,19.9,0.3,0.6,0.9,0.033,-1.5,-1.1,-2.6,-0.2
2023-2024,Kris Murray,23,POR,62,29,1348,9,0.481,0.5,0.153,6.7,12.3,9.3,8.4,1.9,1.4,12.3,14.1,-0.4,1,0.7,0.024,-3.5,-0.2,-3.6,-0.6
2023-2024,Miles McBride,23,NYK,68,14,1328,13.1,0.59,0.586,0.11,2.6,5.9,4.2,12.2,1.9,0.5,5.9,16.4,2.4,1.3,3.6,0.131,-0.4,0.4,-0.1,0.6
2023-2024,Jakob Poeltl,28,TOR,50,50,1319,18.9,0.653,0,0.283,11.9,24.1,17.9,14,1.3,5.1,15.3,16.2,2.4,1.4,3.8,0.138,-0.3,1,0.7,0.9
2023-2024,Joel Embiid,29,PHI,39,39,1309,34.1,0.644,0.163,0.531,7.9,28.8,18.1,32.4,1.7,4.6,12.5,39.6,5.2,2.3,7.5,0.275,8.5,3.1,11.6,4.5
2023-2024,Jeff Green,37,HOU,78,6,1307,11.3,0.59,0.437,0.407,3.7,10.9,7.3,7.3,0.6,2.2,9.6,15.5,1.4,1.2,2.6,0.095,-1.6,-0.4,-2.1,0
2023-2024,Cameron Payne,29,MIL,47,2,702,12.6,0.603,0.59,0.198,0.8,8.7,4.8,20.7,1.5,0.4,11.4,16.7,1.1,0.5,1.6,0.108,-1,-0.5,-1.5,0.1
2023-2024,Cameron Payne,29,PHI,31,8,602,13,0.533,0.525,0.089,2.9,7.3,5,23.4,1.6,1.2,11.5,21.8,0.3,0.5,0.8,0.067,0,-0.8,-0.7,0.2
2023-2024,Gary Harris,29,ORL,54,27,1297,9.4,0.587,0.69,0.152,2.2,6.1,4.1,9.1,1.9,1,8.9,11.7,1.1,1.5,2.7,0.099,-2.3,1.1,-1.2,0.3
2023-2024,Dereck Lively II,19,DAL,55,42,1294,18.1,0.728,0.007,0.274,11.4,20.4,16,6.4,1.3,5.2,13.1,12.6,3.1,1.8,4.9,0.183,-0.3,0.8,0.5,0.8
2023-2024,T.J. McConnell,31,IND,71,4,1291,20.9,0.586,0.074,0.105,3.2,13.6,8.4,41.8,2.6,0.5,14.8,23.7,2.8,1.1,3.9,0.143,2.9,0.1,3,1.6
2023-2024,Aaron Holiday,27,HOU,78,1,1269,11.5,0.578,0.52,0.151,1.9,8.5,5.2,15.4,1.6,0.4,10.6,16.7,1.3,1.2,2.5,0.094,-1.8,0.3,-1.5,0.2
2023-2024,Cedi Osman,28,SAS,72,3,1269,11.2,0.601,0.576,0.135,2.1,13.3,7.7,13,1.3,0.7,10.4,15.1,1,0.9,1.9,0.071,-1.7,-0.3,-2.1,0
2023-2024,Gradey Dick,20,TOR,60,17,1268,8.9,0.546,0.542,0.115,2.3,9.3,5.7,7.4,1.3,0.1,9.7,17.4,-0.1,0.4,0.3,0.01,-3.2,-2.2,-5.4,-1.1
2023-2024,Naji Marshall,26,NOP,66,1,1257,12.7,0.576,0.409,0.234,4.8,16.4,10.6,13.6,1.9,0.9,13.8,16.3,1,1.6,2.6,0.1,-1.3,0.5,-0.7,0.4
2023-2024,Kris Dunn,29,UTA,66,32,1249,12.8,0.546,0.355,0.102,4.4,12.2,8.3,27.1,2.6,2,19.5,13.6,1.1,0.9,2,0.076,-1.5,1.4,-0.1,0.6
2023-2024,Gordon Hayward,33,CHO,25,25,798,14.2,0.544,0.205,0.273,3.4,13.4,8.2,22.1,1.7,1.4,13.3,21.2,0.3,0.4,0.7,0.041,-1.2,-0.6,-1.8,0
2023-2024,GG Jackson II,19,MEM,48,18,1233,13.7,0.554,0.508,0.272,4.5,13.2,8.7,8,1.1,1.8,9.3,24.2,0.2,1.1,1.2,0.048,-0.2,-1.8,-2,0
2023-2024,Aaron Wiggins,25,OKC,78,4,1228,15.6,0.664,0.334,0.188,5.7,11,8.4,9.3,2.2,1.4,12.1,16.4,2.1,1.6,3.7,0.144,0.4,0.4,0.7,0.8
2023-2024,Larry Nance Jr.,31,NOP,61,0,1216,14.9,0.653,0.27,0.253,8.7,19.3,14.1,12.1,2.5,1.5,15.5,11.3,2.1,1.9,4.1,0.16,-0.2,2.2,2,1.2
2023-2024,Duop Reath,27,POR,68,20,1214,15.1,0.571,0.491,0.186,8.1,15.4,11.5,8.9,1.3,2.8,8.8,20.7,1.4,1,2.4,0.095,-0.2,-0.7,-0.9,0.3
2023-2024,Alec Burks,32,DET,43,0,901,15.1,0.581,0.608,0.33,1.9,11.8,6.8,11.2,1.1,1,6.4,23.5,1.3,0.4,1.7,0.092,1.3,-1.7,-0.4,0.4
2023-2024,Kevon Looney,27,GSW,74,36,1195,15.1,0.62,0.004,0.356,13.1,24.6,18.9,14.1,1.1,2.2,15.6,11.3,2.5,1.6,4,0.162,-0.8,1.4,0.6,0.8
2023-2024,David Roddy,22,MEM,48,13,1114,8.7,0.485,0.404,0.174,4.8,15.2,9.8,10.4,1.1,0.9,11.5,18.1,-0.9,1,0.1,0.005,-3.9,-1,-5,-0.8
2023-2024,Vasilije Micic,30,CHO,30,21,815,11.9,0.532,0.391,0.201,1.7,7.3,4.4,33.5,1.3,0.5,18.7,20.3,0.1,0.1,0.2,0.012,-1.9,-2.5,-4.4,-0.5
2023-2024,Patrick Williams,22,CHI,43,30,1174,11,0.553,0.412,0.184,4.3,11.7,7.9,7.7,1.7,2.9,12.8,16.6,0.1,1,1.2,0.048,-2.1,-0.1,-2.3,-0.1
2023-2024,John Konchar,27,MEM,55,23,1173,11.4,0.537,0.577,0.12,6.5,18,12,13,2.1,4.1,17.4,9.7,0.5,1.7,2.2,0.091,-2.6,2.2,-0.4,0.5
2023-2024,Drew Eubanks,26,PHO,75,6,1169,14.4,0.645,0.012,0.368,10.5,20.1,15.6,7.2,1.1,4.6,17.2,13.2,1.6,1.6,3.1,0.129,-2,0.8,-1.2,0.2
2023-2024,Joe Ingles,36,ORL,68,0,1169,10.6,0.612,0.709,0.15,1.8,12.6,7.1,23,1.8,0.4,21.7,11.6,1.1,1.5,2.6,0.108,-1.7,1.2,-0.5,0.5
2023-2024,Anthony Black,20,ORL,69,33,1164,8.4,0.56,0.381,0.324,3.3,10.8,7,10.6,1.5,1.7,16.6,12.7,0.1,1.5,1.6,0.067,-3.8,0.8,-3,-0.3
2023-2024,Jordan Hawkins,21,NOP,67,10,1160,10.2,0.533,0.654,0.175,2.8,11.3,7.1,8.2,0.8,0.6,7.5,19.9,0.3,1,1.3,0.053,-1.3,-1.7,-3.1,-0.3
2023-2024,Trey Lyles,28,SAC,58,0,1158,11.9,0.596,0.682,0.218,5.8,19.4,12.4,8.1,0.7,1.5,9.7,14.4,1.3,1,2.4,0.098,-0.4,-0.7,-1.1,0.3
2023-2024,Moses Moody,21,GSW,66,9,1156,13.7,0.578,0.476,0.221,6.2,12.1,9.2,6.7,1.8,1.9,8.7,18.4,1.2,1.2,2.4,0.101,-0.2,0.1,-0.1,0.6
2023-2024,Jae Crowder,33,MIL,50,25,1156,8.9,0.546,0.615,0.133,3,12.1,7.6,7.2,1.6,0.7,7.4,11.5,0.6,1,1.6,0.065,-2.6,0,-2.6,-0.2
2023-2024,Trayce Jackson-Davis,23,GSW,68,16,1130,21.6,0.692,0.003,0.398,13.1,19.4,16.3,10.4,1.2,6.1,11.2,16.4,3.2,1.6,4.8,0.205,1.5,1.2,2.8,1.4
