Player,Salary
Kyle Kuzma,"$24,456,061 "
Draymond Green,"$24,107,143 "
DeMar DeRozan,"$23,400,000 "
Mikal Bridges,"$23,300,000 "
Jaden McDaniels,"$23,017,242 "
Bruce Brown,"$23,000,000 "
Brook Lopez,"$23,000,000 "
Aaron Gordon,"$22,841,455 "
Kentavious Caldwell-Pope,"$22,757,000 "
Cameron Johnson,"$22,500,000 "
Malcolm Brogdon,"$22,500,000 "
Clint Capela,"$22,265,280 "
Dillon Brooks,"$22,255,493 "
De'Andre Hunter,"$21,696,429 "
Lonzo Ball,"$21,395,348 "
Marcus Smart,"$20,210,284 "
Derrick White,"$20,071,429 "
Jarrett Allen,"$20,000,000 "
Nikola Vucevic,"$20,000,000 "
Myles Turner,"$19,928,500 "
Jakob Poeltl,"$19,500,000 "
Duncan Robinson,"$19,406,000 "
Norman Powell,"$19,241,379 "
Bojan Bogdanovic,"$19,032,850 "
Keldon Johnson,"$19,000,000 "
D'Angelo Russell,"$18,692,307 "
Collin Sexton,"$18,350,000 "
Josh Hart,"$18,144,000 "
Jusuf Nurkic,"$18,125,000 "
Patrick Williams,"$18,000,000 "
Harrison Barnes,"$18,000,000 "
Malik Monk,"$17,405,203 "
Bogdan Bogdanovic,"$17,260,000 "
Rui Hachimura,"$17,000,000 "
Kevin Huerter,"$16,830,357 "
Zach Collins,"$16,741,200 "
Caris LeVert,"$16,615,384 "
Luguentz Dort,"$16,500,000 "
Tim Hardaway Jr.,"$16,193,183 "
Klay Thompson,"$15,873,016 "
Deni Avdija,"$15,625,000 "
Grayson Allen,"$15,625,000 "
P.J. Washington,"$15,500,000 "
Max Strus,"$15,212,068 "
Isaiah Stewart,"$15,000,000 "
Dorian Finney-Smith,"$14,924,167 "
Mitchell Robinson,"$14,318,182 "
Jordan Clarkson,"$14,092,577 "
Onyeka Okongwu,"$14,000,000 "
Naz Reid,"$13,986,432 "
Cade Cunningham,"$13,940,809 "
Daniel Gafford,"$13,394,160 "
Grant Williams,"$13,025,250 "
Dennis Schroder,"$13,025,250 "
Isaiah Joe,"$12,991,650 "
Herbert Jones,"$12,976,362 "
Austin Reaves,"$12,976,362 "
Obi Toppin,"$12,975,000 "
Cole Anthony,"$12,900,000 "
De'Anthony Melton,"$12,822,000 "
Kelly Olynyk,"$12,804,878 "
Victor Wembanyama,"$12,768,960 "
Josh Green,"$12,654,321 "
Richaun Holmes,"$12,648,321 "
Steven Adams,"$12,600,000 "
Bobby Portis,"$12,578,286 "
Zaccharie Risacher,"$12,569,040 "
Brandon Clarke,"$12,500,000 "
Marvin Bagley III,"$12,500,000 "
Jalen Green,"$12,483,048 "
Robert Williams,"$12,428,571 "
Paolo Banchero,"$12,160,800 "
Coby White,"$12,000,000 "
Wendell Carter Jr.,"$11,950,000 "
Ivica Zubac,"$11,743,210 "
P.J. Tucker,"$12,025,777 "
Donte DiVincenzo,"$11,445,000 "
Brandon Miller,"$11,424,600 "
Terance Mann,"$11,423,077 "
Alex Sarr,"$11,245,680 "
Evan Mobley,"$11,227,657 "
Larry Nance Jr.,"$11,205,000 "
Matisse Thybulle,"$11,025,000 "
Aaron Nesmith,"$11,000,000 "
Gabe Vincent,"$11,000,000 "
Maxi Kleber,"$11,000,000 "
Moritz Wagner,"$11,000,000 "
Chet Holmgren,"$10,880,640 "
Chris Boucher,"$10,810,000 "
Jarred Vanderbilt,"$10,714,286 "
Aaron Wiggins,"$10,514,017 "
Chris Paul,"$10,460,000 "
Scoot Henderson,"$10,259,160 "
Isaac Okoro,"$10,185,186 "
Scottie Barnes,"$10,130,980 "
Reed Sheppard,"$10,098,960 "
Mike Conley,"$9,975,962 "
Jonas Valanciunas,"$9,900,000 "
Alex Caruso,"$9,890,000 "
Jabari Smith Jr.,"$9,770,880 "
Derrick Jones Jr.,"$9,523,810 "
Al Horford,"$9,500,000 "
Pat Connaughton,"$9,423,869 "
Royce O'Neale,"$9,375,000 "
T.J. McConnell,"$9,300,000 "
Luke Kennard,"$9,250,000 "
Amen Thompson,"$9,249,960 "
Jalen Suggs,"$9,188,385 "
Caleb Martin,"$9,186,594 "
Gary Payton II,"$9,130,000 "
Stephon Castle,"$9,105,120 "
Tre Jones,"$9,104,167 "
Goga Bitadze,"$9,057,971 "
Zeke Nnaji,"$8,888,889 "
Keegan Murray,"$8,809,560 "
Buddy Hield,"$8,780,488 "
Kyle Anderson,"$8,780,488 "
Naji Marshall,"$8,571,429 "
Jalen Smith,"$8,571,429 "
Georges Niang,"$8,500,000 "
Ausar Thompson,"$8,376,000 "
Josh Giddey,"$8,352,367 "
Josh Okogie,"$8,250,000 "
Ron Holland,"$8,245,320 "
Cody Martin,"$8,120,000 "
Jock Landale,"$8,000,000 "
Trey Lyles,"$8,000,000 "
Jeff Green,"$8,000,000 "
Kevon Looney,"$8,000,000 "
Kelly Oubre Jr.,"$7,983,000 "
Jaden Ivey,"$7,977,240 "
KJ Martin,"$7,975,000 "
Vasilije Micic,"$7,723,000 "
Simone Fontecchio,"$7,692,308 "
Jonathan Kuminga,"$7,636,307 "
Anthony Black,"$7,607,760 "
Jae'Sean Tate,"$7,565,217 "
Gary Harris,"$7,500,000 "
Tidjane Salaun,"$7,488,720 "
Bennedict Mathurin,"$7,245,720 "
Max Christie,"$7,142,857 "
Franz Wagner,"$7,007,092 "
Ayo Dosunmu,"$7,000,000 "
Bilal Coulibaly,"$6,945,240 "
Donovan Clingan,"$6,836,400 "
Payton Pritchard,"$6,696,429 "
Kenrich Williams,"$6,669,000 "
Shaedon Sharpe,"$6,614,160 "
Jevon Carter,"$6,500,000 "
Davion Mitchell,"$6,451,077 "
Saddiq Bey,"$6,440,678 "
Jarace Walker,"$6,362,520 "
Rob Dillingham,"$6,262,920 "
Dean Wade,"$6,166,667 "
John Konchar,"$6,165,000 "
Ziaire Williams,"$6,133,005 "
Dyson Daniels,"$6,059,520 "
Precious Achiuwa,"$6,000,000 "
Malik Beasley,"$6,000,000 "
Chris Duarte,"$5,893,768 "
Taylor Hendricks,"$5,848,680 "
Moses Moody,"$5,803,269 "
Zach Edey,"$5,756,880 "
Corey Kispert,"$5,705,887 "
Jeremy Sochan,"$5,570,040 "
Cason Wallace,"$5,555,880 "
Cody Williams,"$5,469,120 "
Alperen Sengun,"$5,424,654 "
Johnny Davis,"$5,291,160 "
Jett Howard,"$5,278,320 "
Davis Bertans,"$5,250,000 "
Haywood Highsmith,"$5,200,000 "
Matas Buzelis,"$5,195,520 "
Kris Dunn,"$5,168,000 "
Dario Saric,"$5,168,000 "
Trey Murphy III,"$5,159,854 "
Ousmane Dieng,"$5,027,040 "
Dereck Lively II,"$5,014,560 "
Nick Richards,"$5,000,000 "
Andre Drummond,"$5,000,000 "
Drew Eubanks,"$5,000,000 "
Nikola Topic,"$4,935,960 "
Tre Mann,"$4,908,373 "
Jalen Williams,"$4,775,760 "
Gradey Dick,"$4,763,760 "
Jalen McDaniels,"$4,861,772 "
Miles McBride,"$4,710,144 "
Devin Carter,"$4,689,000 "
Nicolas Batum,"$4,668,000 "
Aaron Holiday,"$4,668,000 "
Jalen Duren,"$4,536,840 "
Jordan Hawkins,"$4,525,680 "
Jalen Johnson,"$4,510,905 "
Bub Carrington,"$4,454,880 "
Isaiah Jackson,"$4,435,381 "
Nickeil Alexander-Walker,"$4,312,500 "
Ochai Agbaji,"$4,310,280 "
Kobe Bufkin,"$4,299,000 "
Quentin Grimes,"$4,296,682 "
Kel'el Ware,"$4,231,800 "
Bones Hyland,"$4,158,439 "
Mark Williams,"$4,094,280 "
Keyonte George,"$4,084,200 "
Cam Thomas,"$4,041,249 "
Jared McCain,"$4,020,360 "
Jaden Springer,"$4,772,772 "
Dwight Powell,"$4,000,000 "
Day'Ron Sharpe,"$3,989,122 "
Santi Aldama,"$3,960,531 "
Amir Coffey,"$3,938,271 "
Jalen Hood-Schifino,"$3,879,840 "
Kevin Love,"$3,850,000 "
Dalton Knecht,"$3,819,120 "
Tari Eason,"$3,695,160 "
Jaime Jaquez Jr.,"$3,685,800 "
Tristan Da Silva,"$3,628,440 "
Brandin Podziemski,"$3,519,960 "
Dalen Terry,"$3,510,480 "
Svi Mykhailiuk,"$3,500,000 "
Cody Zeller,"$3,500,000 "
Ja'Kobe Walter,"$3,465,000 "
Cam Whitmore,"$3,379,080 "
Jake LaRavia,"$3,352,680 "
Jaylon Tyson,"$3,326,160 "
Eric Gordon,"$3,303,771 "
Cory Joseph,"$3,303,771 "
Russell Westbrook,"$5,631,296 "
Noah Clowney,"$3,244,080 "
Malaki Branham,"$3,217,920 "
Yves Missi,"$3,193,200 "
Dante Exum,"$3,150,000 "
Dariq Whitehead,"$3,114,240 "
Nassir Little,"$3,107,143 "
Christian Braun,"$3,089,640 "
Johnny Juzang,"$3,087,519 "
DaRon Holmes,"$3,065,640 "
Josh Richardson,"$3,051,153 "
Christian Wood,"$3,036,040 "
Kyle Filipowski,"$3,000,000 "
Julian Champagnie,"$3,000,000 "
Ajay Mitchell,"$3,000,000 "
Kris Murray,"$2,990,040 "
Walker Kessler,"$2,965,920 "
Shake Milton,"$2,875,000 "
Olivier-Maxence Prosper,"$2,870,400 "
David Roddy,"$2,967,212 "
Torrey Craig,"$3,625,162 "
Kyshawn George,"$2,825,520 "
AJ Johnson,"$2,795,294 "
Marcus Sasser,"$2,755,080 "
Dewayne Dedmon,"$2,748,674 "
MarJon Beauchamp,"$2,733,720 "
Trendon Watford,"$2,726,603 "
Ben Sheppard,"$2,663,880 "
Keita Bates-Diop,"$2,654,644 "
Blake Wesley,"$2,624,280 "
Dillon Jones,"$2,622,360 "
Nick Smith Jr.,"$2,587,200 "
Brice Sensabaugh,"$2,571,480 "
Ty Jerome,"$2,560,975 "
Julian Strawther,"$2,552,520 "
Terrence Shannon Jr.,"$2,546,640 "
Wendell Moore Jr.,"$2,537,040 "
Kobe Brown,"$2,533,920 "
Ryan Dunn,"$2,530,800 "
Isaiah Collier,"$2,512,680 "
Baylor Scheierman,"$2,494,320 "
Paul Reed,"$3,913,234 "
Nikola Jovic,"$2,464,200 "
Cam Reddish,"$2,463,946 "
Jaxson Hayes,"$2,463,946 "
Patrick Baldwin Jr.,"$2,448,840 "
DaQuan Jeffries,"$2,425,404 "
Peyton Watson,"$2,413,560 "
Kevin Porter Jr.,"$3,366,937 "
Russell Westbrook,"$5,631,296 "
Charlie Brown Jr.,"$2,237,692 "
Xavier Tillman Sr.,"$2,237,691 "
Anthony Gill,"$2,237,691 "
James Wiseman,"$2,237,691 "
Garrison Mathews,"$2,230,253 "
JaVale McGee,"$2,208,856 "
Jeremiah Robinson-Earl,"$2,196,970 "
Lindy Waters III,"$2,196,970 "
Dalano Banton,"$2,196,970 "
Sam Merrill,"$2,164,993 "
Duane Washington Jr.,"$2,162,607 "
Luka Garza,"$2,162,606 "
Keon Johnson,"$2,162,606 "
Neemias Queta,"$2,162,606 "
Vit Krejci,"$2,162,606 "
Vince Williams Jr.,"$2,120,693 "
Colby Jones,"$2,120,693 "
Keon Ellis,"$2,120,693 "
A.J. Green,"$2,120,693 "
Sam Hauser,"$2,092,344 "
Jericho Sims,"$2,092,344 "
Jay Huff,"$2,088,033 "
Tyler Kolek,"$2,087,519 "
Scotty Pippen Jr.,"$2,087,519 "
Reggie Jackson,"$4,033,748 "
Alex Len,"$2,831,348 "
Mo Bamba,"$2,207,491 "
Garrett Temple,"$2,087,519 "
Charles Bassey,"$2,087,519 "
Jordan McLaughlin,"$2,087,519 "
Sandro Mamukelashvili,"$2,087,519 "
Doug McDermott,"$2,087,519 "
Tyus Jones,"$2,087,519 "
Bol Bol,"$2,087,519 "
Monte Morris,"$2,087,519 "
Mason Plumlee,"$2,087,519 "
Damion Lee,"$2,087,519 "
Guerschon Yabusele,"$2,087,519 "
Kyle Lowry,"$2,087,519 "
Daniel Theis,"$2,087,519 "
Cameron Payne,"$2,087,519 "
Delon Wright,"$2,087,519 "
Joe Ingles,"$2,087,519 "
Gary Trent Jr.,"$2,087,519 "
Taurean Prince,"$2,087,519 "
Alec Burks,"$2,087,519 "
Markieff Morris,"$2,087,519 "
Patty Mills,"$2,087,519 "
James Johnson,"$2,087,519 "
Thomas Bryant,"$2,087,519 "
DeAndre Jordan,"$2,087,519 "
Vlatko Cancar,"$2,087,519 "
Spencer Dinwiddie,"$2,087,519 "
Tristan Thompson,"$2,087,519 "
Seth Curry,"$2,087,519 "
Taj Gibson,"$2,087,519 "
Talen Horton-Tucker,"$2,087,519 "
Luke Kornet,"$2,087,519 "
Duop Reath,"$2,048,780 "
Andrew Nembhard,"$2,019,699 "
Jaden Hardy,"$2,019,699 "
Jabari Walker,"$2,019,699 "
Caleb Houstan,"$2,019,699 "
Jaylin Williams,"$2,019,699 "
Josh Minott,"$2,019,699 "
Kennedy Chandler,"$2,019,699 "
Jose Alvarado,"$1,988,598 "
Reggie Jackson,"$4,033,748 "
Ricky Council IV,"$1,891,857 "
GG Jackson II,"$1,891,857 "
Jalen Pickett,"$1,891,857 "
Hunter Tyson,"$1,891,857 "
Julian Phillips,"$1,891,857 "
Jordan Walsh,"$1,891,857 "
Sidy Cissoko,"$1,891,857 "
Toumani Camara,"$1,891,857 "
Rayan Rupert,"$1,891,857 "
Leonard Miller,"$1,891,857 "
Chris Livingston,"$1,891,857 "
Andre Jackson Jr.,"$1,891,857 "
Trayce Jackson-Davis,"$1,891,857 "
Gui Santos,"$1,891,857 "
Craig Porter Jr.,"$1,891,857 "
Maxwell Lewis,"$1,891,857 "
Jalen Wilson,"$1,891,857 "
Mouhamed Gueye,"$1,891,857 "
Jonathan Mogbo,"$1,862,265 "
Jamal Shead,"$1,862,265 "
Johnny Furphy,"$1,850,842 "
Pacome Dadiet,"$1,808,080 "
Justin Champagnie,"$1,800,000 "
Javonte Green,"$2,328,350 "
Jae Crowder,"$1,655,619 "
Paul Reed,"$3,913,234 "
Karlo Matkovic,"$1,407,153 "
Landry Shamet,"$1,343,690 "
Eric Bledsoe,"$1,300,000 "
Bobi Klintman,"$1,257,153 "
Tyler Smith,"$1,157,153 "
Oso Ighodaro,"$1,157,153 "
Jaylen Wells,"$1,157,153 "
Bronny James,"$1,157,153 "
Cam Christie,"$1,157,153 "
Adem Bona,"$1,157,153 "
Antonio Reeves,"$1,157,153 "
Pelle Larsson,"$1,157,153 "
Bruno Fernando,"$1,115,128 "
Ariel Hukporti,"$1,064,049 "
PJ Dozier,"$1,051,255 "
Jordan Miller,"$1,050,000 "
Jamison Battle,"$1,000,000 "
Kevin Porter Jr.,"$3,366,937 "
Joshua Primo,"$1,000,000 "
Orlando Robinson,"$1,691,610 "
Moussa Diabate,"$957,763 "
Lonnie Walker IV,"$780,932 "
Torrey Craig,"$3,625,162 "
Ben Simmons,"$40,011,909 "
Jared Butler,"$745,726 "
Alex Len,"$2,831,348 "
Markelle Fultz,"$731,831 "
Keshad Johnson,"$724,883 "
E.J. Liddell,"$706,898 "
Nik Stauskas,"$702,310 "
Tyrese Martin,"$635,853 "
Jaden Springer,"$4,772,772 "
Matt Ryan,"$621,439 "
Ryan Rollins,"$1,091,887 "
Javonte Green,"$2,328,350 "
Brandon Boston Jr.,"$596,581 "
Juwan Morgan,"$576,229 "
Malik Fitts,"$555,216 "
Jeenathan Williams,"$515,881 "
Bismack Biyombo,"$647,851 "
Jaylen Clark,"$492,323 "
Dominick Barlow,"$491,887 "
Orlando Robinson,"$1,691,610 "
Ryan Rollins,"$1,091,887 "
Mamadi Diakite,"$464,050 "
Quinten Post,"$438,920 "
Pat Spencer,"$438,810 "
Justin Edwards,"$425,619 "
Ricky Rubio,"$424,672 "
Lamar Stevens,"$623,856 "
Branden Carlson,"$496,519 "
Tony Bradley,"$600,545 "
Moses Brown,"$426,632 "
Jaylen Nowell,"$446,743 "
Elfrid Payton,"$789,048 "
Didi Louzada,"$268,032 "
Kevin Knox,"$503,883 "
AJ Griffin,"$250,000 "
P.J. Tucker,"$12,025,777 "
Jordan Goodwin,"$223,718 "
Jaylen Nowell,"$446,743 "
Isaac Jones,"$152,957 "
Tony Bradley,"$600,545 "
Bismack Biyombo,"$647,851 "
Bismack Biyombo,"$647,851 "
Malevy Leons,"$126,356 "
Jaden Springer,"$4,772,772 "
Orlando Robinson,"$1,691,610 "
Orlando Robinson,"$1,691,610 "
Lamar Stevens,"$623,856 "
Lamar Stevens,"$623,856 "
Tony Bradley,"$600,545 "
Elfrid Payton,"$789,048 "
Elfrid Payton,"$789,048 "
Kevin Knox,"$503,883 "
Kevin Knox,"$503,883 "
P.J. Tucker,"$12,025,777 "
P.J. Tucker,"$12,025,777 "
Chuma Okeke,"$355,687 "
Chuma Okeke,"$355,687 "
Elfrid Payton,"$789,048 "
Elfrid Payton,"$789,048 "
Cole Swider,"$227,947 "
Jalen McDaniels,"$4,861,772 "
Jared Rhoden,"$119,972 "
Eugene Omoruyi,"$119,972 "
Terry Taylor,"$119,972 "
Skal Labissiere,"$119,972 "
Daishen Nix,"$119,972 "
Oshae Brissett,"$119,972 "
David Roddy,"$2,967,212 "
Mo Bamba,"$2,207,491 "
Jahlil Okafor,"$119,972 "
Moses Brown,"$426,632 "
Malachi Flynn,"$119,972 "
Killian Hayes,"$119,972 "
Kevon Harris,"$119,972 "
Chuma Okeke,"$355,687 "
Drew Timme,"$113,055 "
Cole Swider,"$227,947 "
Colin Castleton,"$421,081 "
Colin Castleton,"$421,081 "
Colin Castleton,"$421,081 "
Marcus Garrett,"$107,027 "
Colin Castleton,"$421,081 "
Javon Freeman-Liberty,"$100,000 "
A.J. Lawson,"$100,000 "
Marcus Bagley,"$126,356 "
Kylor Kelley,"$73,153 "
Jaylen Sims,"$73,153 "
Erik Stevenson,"$66,503 "
Phillip Wheeler,"$66,503 "
Yuri Collins,"$66,503 "
Nae'Qwan Tomlin,"$66,503 "
Branden Carlson,"$496,519 "
Branden Carlson,"$496,519 "
Terence Davis,"$64,301 "
Marcus Bagley,"$126,356 "
Brandon Williams,"$47,989 "
Javante McCoy,"$47,265 "
Elfrid Payton,"$789,048 "
Isaiah Mobley,"$11,997 "
Braxton Key,"$11,997 "
JD Davison,"$11,997 "
Kylor Kelley,"$73,153 "
Jaylen Sims,"$73,153 "
