Age,Minutes,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,BPM,Availability%,Salary%
23,1690,0.612,9.2,10.2,1.5,1.6,4.7,18.6,2.5,69.51,2.01
28,1690,0.647,13.1,10.0,1.2,5.8,9.1,25.1,5.1,69.51,19.27
37,1037,0.582,7.0,19.5,1.9,1.4,16.9,13.5,-0.8,45.12,1.58
37,653,0.615,5.5,21.1,1.5,0.8,17.6,12.0,-1.3,28.05,1.68
31,1682,0.521,6.2,24.6,1.0,0.3,13.9,26.1,-4.5,67.07,17.56
26,1681,0.595,7.2,7.3,1.1,0.9,10.0,20.6,-2.4,69.51,12.62
31,1676,0.574,7.8,12.0,1.1,1.0,11.6,10.9,-1.6,92.68,5.03
22,1655,0.554,10.2,10.2,1.3,1.8,9.2,15.7,-1.9,100.0,1.63
28,1160,0.592,8.4,8.6,1.2,1.4,12.0,15.4,-1.6,60.98,2.28
23,1003,0.531,6.9,6.1,1.3,2.6,11.7,12.2,-3.0,62.2,3.08
23,638,0.453,7.8,7.4,1.5,2.1,13.1,15.4,-6.5,32.93,2.52
29,1630,0.569,14.6,22.8,0.8,0.7,14.1,29.9,1.9,56.1,17.11
24,1187,0.564,16.6,6.2,1.3,4.4,14.1,14.0,-1.4,59.76,2.65
23,1618,0.539,11.9,13.3,1.3,3.1,10.2,17.9,-0.2,74.39,1.35
27,1599,0.582,8.6,12.9,1.5,0.8,7.9,19.6,0.4,70.73,16.57
20,1594,0.526,5.0,14.0,0.8,0.4,12.2,19.8,-5.6,91.46,2.15
24,1590,0.58,16.9,9.8,2.1,4.8,11.5,15.9,0.4,100.0,4.64
21,1583,0.522,14.2,10.8,2.1,3.2,13.6,16.6,-2.2,76.83,5.73
24,1582,0.568,5.9,27.6,0.7,0.3,12.1,28.0,0.2,56.1,14.59
25,1562,0.564,8.0,14.4,1.4,1.3,8.4,17.3,-0.8,78.05,10.2
21,1538,0.562,8.6,9.8,1.1,0.7,11.3,23.4,-3.4,71.95,4.65
22,1532,0.626,17.2,15.9,1.5,4.2,12.5,20.6,2.9,60.98,5.32
38,1531,0.544,7.9,33.4,2.2,0.4,13.4,15.6,1.0,70.73,14.71
35,1529,0.514,12.7,29.2,2.4,1.4,16.4,25.2,0.5,82.93,1.9
35,1475,0.606,9.0,10.6,1.5,2.1,13.2,8.7,-0.5,69.51,7.04
26,1526,0.565,13.1,18.9,1.1,2.8,16.1,22.7,-2.0,84.15,5.39
23,1505,0.588,6.7,11.1,1.5,0.5,13.1,13.1,-2.7,69.51,2.84
22,1493,0.663,17.7,5.6,1.0,9.2,14.4,12.8,0.9,78.05,2.12
33,1490,0.587,14.4,28.6,1.8,2.9,25.0,15.3,2.4,67.07,10.66
21,1488,0.539,9.6,7.4,1.4,5.0,10.5,16.2,-2.2,97.56,1.27
26,1487,0.537,5.1,8.3,3.8,3.0,10.8,10.6,0.6,79.27,6.35
32,1487,0.595,9.5,28.9,1.6,0.9,15.4,23.9,1.1,67.07,15.65
34,921,0.6,5.7,12.2,1.2,0.4,11.8,24.7,-2.1,34.15,14.36
34,557,0.549,5.8,7.1,0.6,0.2,12.1,24.3,-4.9,35.37,12.12
22,1468,0.57,7.6,9.3,1.6,2.4,11.4,14.4,-1.9,90.24,2.1
35,919,0.547,8.7,21.0,1.3,1.8,15.4,14.9,-1.5,57.32,1.21
35,543,0.524,9.5,15.8,1.7,2.0,9.6,13.2,-0.4,31.71,1.08
26,1460,0.604,5.7,6.8,1.4,0.9,7.9,12.5,-2.2,85.37,1.82
24,1445,0.626,6.9,8.9,1.5,1.4,8.5,16.6,0.9,95.12,1.23
25,1443,0.589,7.0,29.2,1.5,1.4,11.7,28.5,2.8,51.22,2.36
23,1436,0.597,11.0,18.0,1.6,2.2,17.4,15.8,-0.7,63.41,1.37
22,1423,0.6,11.9,7.1,0.6,2.3,13.6,14.5,-2.3,56.1,3.78
26,1415,0.676,14.4,11.2,1.4,1.4,13.1,22.8,2.0,97.56,6.03
24,1407,0.558,8.9,22.4,1.1,0.2,10.6,27.8,0.8,51.22,15.24
24,1406,0.623,15.9,9.9,1.2,1.9,12.3,17.2,0.9,67.07,9.84
23,1405,0.674,14.6,7.2,0.9,3.8,9.8,13.7,-0.4,67.07,5.1
21,1388,0.576,15.8,17.0,2.7,2.5,14.9,18.5,1.8,75.61,5.9
27,1366,0.587,8.7,7.2,1.9,2.1,9.0,12.4,-0.7,80.49,1.07
20,1358,0.529,9.7,15.4,3.1,1.8,15.0,12.6,0.6,74.39,3.46
30,1351,0.576,29.3,4.1,2.7,3.6,12.3,21.3,0.1,96.34,2.03
23,1351,0.542,5.2,25.4,1.6,0.8,14.3,19.9,-2.6,86.59,1.88
23,1348,0.481,9.3,8.4,1.9,1.4,12.3,14.1,-3.6,75.61,1.72
23,1328,0.59,4.2,12.2,1.9,0.5,5.9,16.4,-0.1,82.93,1.11
28,1319,0.653,17.9,14.0,1.3,5.1,15.3,16.2,0.7,60.98,11.96
29,1309,0.644,18.1,32.4,1.7,4.6,12.5,39.6,11.6,47.56,28.21
37,1307,0.59,7.3,7.3,0.6,2.2,9.6,15.5,-2.1,95.12,6.43
29,702,0.603,4.8,20.7,1.5,0.4,11.4,16.7,-1.5,57.32,3.47
29,602,0.533,5.0,23.4,1.6,1.2,11.5,21.8,-0.7,37.8,3.91
29,1297,0.587,4.1,9.1,1.9,1.0,8.9,11.7,-1.2,65.85,9.8
19,1294,0.728,16.0,6.4,1.3,5.2,13.1,12.6,0.5,67.07,2.85
31,1291,0.586,8.4,41.8,2.6,0.5,14.8,23.7,3.0,86.59,5.85
27,1269,0.578,5.2,15.4,1.6,0.4,10.6,16.7,-1.5,95.12,1.35
28,1269,0.601,7.7,13.0,1.3,0.7,10.4,15.1,-2.1,87.8,4.7
20,1268,0.546,5.7,7.4,1.3,0.1,9.7,17.4,-5.4,73.17,2.78
26,1257,0.576,10.6,13.6,1.9,0.9,13.8,16.3,-0.7,80.49,1.15
29,1249,0.546,8.3,27.1,2.6,2.0,19.5,13.6,-0.1,80.49,1.93
33,798,0.544,8.2,22.1,1.7,1.4,13.3,21.2,-1.8,30.49,22.38
19,1233,0.554,8.7,8.0,1.1,1.8,9.3,24.2,-2.0,58.54,1.22
25,1228,0.664,8.4,9.3,2.2,1.4,12.1,16.4,0.7,95.12,1.13
31,1216,0.653,14.1,12.1,2.5,1.5,15.5,11.3,2.0,74.39,6.2
27,1214,0.571,11.5,8.9,1.3,2.8,8.8,20.7,-0.9,82.93,1.18
32,901,0.581,6.8,11.2,1.1,1.0,6.4,23.5,-0.4,52.44,7.53
27,1195,0.62,18.9,14.1,1.1,2.2,15.6,11.3,0.6,90.24,3.58
22,1114,0.485,9.8,10.4,1.1,0.9,11.5,18.1,-5.0,58.54,1.67
30,815,0.532,4.4,33.5,1.3,0.5,18.7,20.3,-4.4,36.59,5.49
22,1174,0.553,7.9,7.7,1.7,2.9,12.8,16.6,-2.3,52.44,5.94
27,1173,0.537,12.0,13.0,2.1,4.1,17.4,9.7,-0.4,67.07,1.48
26,1169,0.645,15.6,7.2,1.1,4.6,17.2,13.2,-1.2,91.46,1.21
36,1169,0.612,7.1,23.0,1.8,0.4,21.7,11.6,-0.5,82.93,8.29
20,1164,0.56,7.0,10.6,1.5,1.7,16.6,12.7,-3.0,84.15,5.46
21,1160,0.533,7.1,8.2,0.8,0.6,7.5,19.9,-3.1,81.71,2.57
28,1158,0.596,12.4,8.1,0.7,1.5,9.7,14.4,-1.1,70.73,5.21
21,1156,0.578,9.2,6.7,1.8,1.9,8.7,18.4,-0.1,80.49,1.87
33,1156,0.546,7.6,7.2,1.6,0.7,7.4,11.5,-2.6,60.98,1.08
23,1130,0.692,16.3,10.4,1.2,6.1,11.2,16.4,2.8,82.93,0.53
31,1121,0.56,7.4,30.9,1.2,0.6,9.9,23.0,2.0,47.56,13.61
27,1108,0.598,11.1,5.0,1.8,2.0,7.6,10.5,0.1,65.85,3.42
30,1103,0.573,6.2,13.9,1.1,1.2,8.9,16.5,-1.3,52.44,1.63
25,1101,0.555,4.8,16.0,0.7,0.2,11.2,14.9,-3.4,87.8,3.3
29,1098,0.6,13.9,17.8,1.4,0.8,15.4,19.5,1.0,78.05,0.96
22,1091,0.637,17.2,7.3,0.5,3.1,15.9,16.3,-3.5,76.83,8.7
28,1088,0.645,7.5,19.3,1.0,0.4,12.9,15.0,-0.6,67.07,1.79
27,1069,0.598,6.3,14.1,0.9,0.3,4.5,17.5,0.5,74.39,1.2
26,1059,0.508,8.5,27.3,3.2,1.0,15.8,17.7,-0.8,68.29,1.3
20,1059,0.524,8.5,13.8,1.3,1.0,12.9,22.4,-2.8,39.02,3.82
24,575,0.622,18.0,7.3,1.2,2.7,10.5,20.9,0.3,29.27,8.29
33,1049,0.568,11.6,7.3,1.4,2.1,10.7,12.5,-2.0,64.63,1.53
23,1047,0.682,18.2,8.0,0.8,2.9,9.1,19.4,2.4,74.39,3.77
24,876,0.508,9.1,20.5,1.6,1.8,12.0,27.2,-0.8,36.59,1.22
22,1038,0.511,9.5,11.1,1.7,0.8,13.8,19.7,-4.5,62.2,2.96
28,1031,0.538,10.2,8.2,2.0,1.3,13.1,11.7,-2.3,79.27,4.35
29,1029,0.568,11.3,11.4,1.8,0.8,10.1,13.4,-0.8,84.15,3.8
25,1028,0.54,6.9,15.3,2.8,1.4,9.8,17.3,-0.1,68.29,1.1
23,910,0.543,5.4,7.8,1.7,0.3,6.5,15.3,-1.5,54.88,1.45
25,1023,0.533,7.6,15.4,2.9,1.4,9.0,18.3,0.5,46.34,4.81
31,1007,0.601,13.7,8.3,1.0,4.6,11.9,15.4,-1.5,71.95,0.86
25,1011,0.545,6.9,11.5,1.6,1.8,9.0,24.4,-1.4,70.73,1.3
